session started at:2016-05-24T17:18:49.740Z
tic detected at:2016-05-24T17:18:53.572Z
tic detected at:2016-05-24T17:18:56.764Z
tic detected at:2016-05-24T17:18:58.387Z
tic detected at:2016-05-24T17:18:59.299Z
tic detected at:2016-05-24T17:19:00.097Z
tic detected at:2016-05-24T17:19:06.291Z
tic detected at:2016-05-24T17:19:11.667Z
tic detected at:2016-05-24T17:19:17.938Z
tic detected at:2016-05-24T17:19:21.889Z
tic detected at:2016-05-24T17:19:23.682Z
tic detected at:2016-05-24T17:19:24.875Z
tic detected at:2016-05-24T17:19:26.235Z
tic detected at:2016-05-24T17:19:27.865Z
tic detected at:2016-05-24T17:19:28.897Z
tic detected at:2016-05-24T17:19:29.678Z
tic detected at:2016-05-24T17:19:30.572Z
tic detected at:2016-05-24T17:19:31.811Z
tic detected at:2016-05-24T17:19:35.164Z
tic detected at:2016-05-24T17:19:35.955Z
