session started|2016-06-13T22:45:42.226Z
starting user level,points|2,4354
user level,points|2,4354|2016-06-13T22:45:42.432Z
user level,points|2,4358|2016-06-13T22:45:44.447Z
user level,points|2,4366|2016-06-13T22:45:46.465Z
user level,points|2,4378|2016-06-13T22:45:48.487Z
user level,points|2,4394|2016-06-13T22:45:50.503Z
user level,points|2,4414|2016-06-13T22:45:52.515Z
user level,points|2,4438|2016-06-13T22:45:54.534Z
user level,points|2,4466|2016-06-13T22:45:56.551Z
user level,points|2,4498|2016-06-13T22:45:58.582Z
user level,points|2,4534|2016-06-13T22:46:00.595Z
user level,points|2,4574|2016-06-13T22:46:02.614Z
user level,points|2,4614|2016-06-13T22:46:04.638Z
user level,points|2,4654|2016-06-13T22:46:06.660Z
user level,points|2,4694|2016-06-13T22:46:08.674Z
user level,points|2,4734|2016-06-13T22:46:10.689Z
user level,points|2,4774|2016-06-13T22:46:12.707Z
user level,points|2,4814|2016-06-13T22:46:14.723Z
user level,points|2,4854|2016-06-13T22:46:16.787Z
user level,points|2,4894|2016-06-13T22:46:18.830Z
user level,points|2,4934|2016-06-13T22:46:20.868Z
user level,points|2,4974|2016-06-13T22:46:22.883Z
user level,points|2,5014|2016-06-13T22:46:24.895Z
user level,points|2,5054|2016-06-13T22:46:26.914Z
user level,points|2,5094|2016-06-13T22:46:28.934Z
user level,points|2,5134|2016-06-13T22:46:30.951Z
user level,points|2,5174|2016-06-13T22:46:32.968Z
user level,points|2,5214|2016-06-13T22:46:34.987Z
user level,points|2,5254|2016-06-13T22:46:37.015Z
user level,points|2,5294|2016-06-13T22:46:39.039Z
user level,points|2,5334|2016-06-13T22:46:41.058Z
user level,points|2,5374|2016-06-13T22:46:43.072Z
user level,points|2,5414|2016-06-13T22:46:45.088Z
user level,points|2,5454|2016-06-13T22:46:47.109Z
user level,points|2,5494|2016-06-13T22:46:49.149Z
user level,points|2,5534|2016-06-13T22:46:51.165Z
user level,points|2,5574|2016-06-13T22:46:53.184Z
user level,points|2,5614|2016-06-13T22:46:55.196Z
